    68/299     4.13G    0.0257   0.01108         0   0.03678        33       640    0.7559    0.6558    0.7194    0.3781    0.0684   0.05187         0
    69/299     4.13G   0.02767   0.01127         0   0.03894        10       640      0.74    0.6883    0.7334    0.3726   0.06985   0.05255         0
    70/299     4.13G   0.02732   0.01129         0   0.03861        16       640    0.7773    0.6721    0.7176    0.3703   0.06812   0.05416         0
    71/299     4.13G   0.02612   0.01101         0   0.03713        11       640    0.7418    0.6773    0.7003    0.3616   0.06819   0.05417         0
    72/299     4.13G   0.02609   0.01083         0   0.03692        13       640    0.7861    0.6396    0.7033    0.3647   0.06791   0.05403         0
    73/299     4.13G   0.02475   0.01078         0   0.03553        20       640    0.7825     0.645    0.6928     0.356   0.06858   0.05426         0
    74/299     4.13G    0.0264   0.01076         0   0.03716        13       640    0.7559    0.6964     0.705    0.3768    0.0678    0.0546         0
    75/299     4.13G   0.02562    0.0101         0   0.03573        12       640    0.7872    0.7019    0.6969    0.3587   0.06783   0.05476         0
    76/299     4.13G   0.02499   0.01079         0   0.03577        37       640    0.7267    0.7073    0.6928    0.3736   0.06777   0.05511         0
    77/299     4.13G   0.02505   0.01051         0   0.03556        11       640    0.7938    0.6504     0.715    0.3889   0.06669   0.05612         0
    78/299     4.13G   0.02601   0.01099         0   0.03699        36       640       0.8    0.6502    0.7053    0.3868   0.06818   0.05488         0
    79/299     4.13G   0.02571   0.01042         0   0.03613        28       640    0.7897    0.6721    0.7135    0.3814   0.06804   0.05627         0
    80/299     4.13G   0.02484   0.01043         0   0.03527         7       640    0.7934    0.6662    0.7091     0.379   0.06811    0.0557         0
    81/299     4.13G   0.02425   0.01003         0   0.03428        11       640    0.7402    0.6802    0.7126    0.3748   0.06823   0.05499         0
    82/299     4.13G   0.02422   0.01023         0   0.03445        19       640    0.7815    0.6612    0.7018      0.38     0.069   0.05464         0
    83/299     4.13G   0.02433    0.0106         0   0.03493        37       640    0.8371    0.6558    0.7116    0.4069   0.06824   0.05405         0
    84/299     4.13G   0.02381   0.01018         0     0.034        10       640    0.7431    0.6829    0.7123    0.3903   0.06872   0.05317         0
    85/299     4.13G   0.02538   0.01076         0   0.03614        25       640    0.7979    0.6856    0.7043    0.3902   0.06921   0.05419         0
    86/299     4.13G   0.02367   0.01001         0   0.03368        16       640    0.8297    0.6233    0.7104    0.3961   0.06866   0.05382         0
    87/299     4.13G    0.0241   0.01006         0   0.03417        12       640    0.7725    0.6258    0.6883    0.3921   0.06897     0.054         0
    88/299     4.13G   0.02454   0.01008         0   0.03461        55       640    0.7515    0.6314    0.6959    0.4018   0.06927   0.05417         0
    89/299     4.13G   0.02258  0.009743         0   0.03233        25       640    0.7997    0.6369    0.7113    0.3975   0.06792   0.05432         0
    90/299     4.13G   0.02363   0.01077         0    0.0344         8       640    0.7715    0.6497    0.7021    0.3931   0.06848   0.05514         0
    91/299     4.13G   0.02222  0.009609         0   0.03183        23       640    0.8157    0.6476    0.7107    0.4056   0.06794   0.05564         0
    92/299     4.13G   0.02345  0.009875         0   0.03333        13       640    0.8235    0.6447    0.7206    0.4065   0.06764   0.05561         0
    93/299     4.13G   0.02271  0.009724         0   0.03243        34       640    0.7516    0.6477    0.6858    0.3843   0.06882   0.05563         0
    94/299     4.13G   0.02288  0.009707         0   0.03259         6       640    0.7784    0.6477    0.7134    0.3925    0.0676   0.05591         0
    95/299     4.13G    0.0226  0.009817         0   0.03241        20       640    0.8106    0.6287     0.704    0.3887   0.06694   0.05633         0
    96/299     4.13G   0.02268  0.009689         0   0.03236        16       640    0.7855    0.6151     0.692    0.3893   0.06676   0.05657         0
    97/299     4.13G   0.02293  0.009857         0   0.03278         6       640    0.7568    0.6748    0.6957    0.3964   0.06822   0.05736         0
    98/299     4.13G   0.02306  0.009745         0   0.03281        29       640    0.8825    0.6125    0.7209    0.4054   0.06753    0.0572         0
    99/299     4.13G   0.02133  0.009414         0   0.03075         7       640     0.851      0.65    0.7199     0.397   0.06737    0.0567         0
   100/299     4.13G   0.02164  0.009311         0   0.03096        16       640    0.8437     0.645    0.7012    0.3956   0.06782    0.0578         0
   101/299     4.13G   0.02203   0.00931         0   0.03134        35       640    0.8635    0.6179    0.7154    0.3981   0.06532   0.06031         0
   102/299     4.13G   0.02122  0.009604         0   0.03082        21       640     0.849     0.626    0.7321    0.4105   0.06601    0.0589         0
   103/299     4.13G   0.02168  0.009644         0   0.03133        13       640    0.7545    0.6747    0.7059    0.4031   0.06651   0.05917         0
   104/299     4.13G   0.02136  0.009657         0   0.03101        25       640    0.8245    0.6369    0.7201    0.4087   0.06561   0.05859         0
   105/299     4.13G   0.02094  0.009104         0   0.03005        18       640    0.8263    0.6444    0.7241    0.4179   0.06629   0.05845         0
   106/299     4.13G   0.02111  0.009133         0   0.03024        24       640    0.7932    0.6694    0.7116    0.4185   0.06453   0.05993         0
   107/299     4.13G   0.02093  0.009493         0   0.03042        18       640    0.7737    0.6856    0.7125      0.41   0.06428   0.05937         0
   108/299     4.13G   0.02106  0.009662         0   0.03072        19       640    0.8068    0.6341    0.7023    0.4106   0.06587   0.05823         0
   109/299     4.13G   0.02172  0.009755         0   0.03147        18       640      0.83     0.664    0.7294     0.411   0.06491   0.05858         0
   110/299     4.13G   0.02146  0.009363         0   0.03083         9       640     0.801    0.6667    0.7239    0.4188   0.06492   0.05884         0
   111/299     4.13G   0.02059  0.008916         0   0.02951        14       640     0.787    0.6721    0.7102    0.4157   0.06374   0.05957         0
   112/299     4.13G   0.02087  0.009242         0   0.03011        12       640    0.7741    0.6694    0.7171    0.4167   0.06441   0.05945         0
   113/299     4.13G   0.02026  0.009047         0   0.02931        13       640    0.8357    0.6206    0.6896    0.4125   0.06442   0.06025         0
   114/299     4.13G   0.02082  0.009041         0   0.02986         9       640    0.7592    0.6667    0.6971    0.4033   0.06412   0.06056         0
   115/299     4.13G    0.0216  0.009551         0   0.03115        21       640    0.8044    0.6369    0.6873    0.4029   0.06517   0.05921         0
   116/299     4.13G   0.01958  0.009203         0   0.02878        20       640    0.8109    0.6992    0.7209    0.4051   0.06432   0.05912         0
   117/299     4.13G   0.01983  0.008981         0   0.02881        45       640    0.7826    0.6829    0.7266    0.4097   0.06415   0.05861         0
